eleccion,odpe,nombre_odpe,mesas_procesadas,mesas_contabilizadas,mesas_al_jee,electores_procesados,electores_contabilizados,electores_al_jee,mesas_totales,electores_totales,departameto,pct_mesas,pct_mesas_contabilizadas,pct_mesas_al_jee,pct_electores,pct_electores_contabilizados,electores_por_contabilizar,pct_electores_por_contabilizar
Presidencial segunda vuelta,PUERTO INCA,PUERTO INCA,119,116,3,33155,32297,858,119,33155,HUANUCO,1,0.9747899159663865,0.025210084033613446,1,0.9741215502940733,858,0.025878449705926707
Presidencial segunda vuelta,YAROWILCA,YAROWILCA,193,191,2,52219,51630,589,193,52219,HUANUCO,1,0.9896373056994818,0.010362694300518135,1,0.9887205806315709,589,0.011279419368429116
Presidencial segunda vuelta,CHINCHA,CHINCHA,1060,1045,15,310360,305961,4399,1060,310360,ICA,1,0.9858490566037735,0.014150943396226415,1,0.9858261373888387,4399,0.014173862611161232
Presidencial segunda vuelta,ICA,ICA,1383,1376,7,403637,401557,2080,1383,403637,ICA,1,0.9949385394070861,0.005061460592913955,1,0.9948468549711746,2080,0.005153145028825405
Presidencial segunda vuelta,CHANCHAMAYO,CHANCHAMAYO,1026,1012,14,292719,288708,4011,1026,292719,JUNIN,1,0.98635477582846,0.01364522417153996,1,0.9862974388406629,4011,0.013702561159337111
Presidencial segunda vuelta,EL TAMBO,EL TAMBO,967,962,5,280098,278631,1467,973,281896,JUNIN,0.9938335046248715,0.9886947584789312,0.0051387461459403904,0.9936217612169027,0.9884177143343644,3265,0.011582285665635553
Presidencial segunda vuelta,HUANCAYO,HUANCAYO,805,800,5,237878,236417,1461,805,237878,JUNIN,1,0.9937888198757764,0.006211180124223602,1,0.9938581962182295,1461,0.006141803781770487
Presidencial segunda vuelta,JAUJA,JAUJA,456,453,3,125710,124834,876,456,125710,JUNIN,1,0.993421052631579,0.006578947368421052,1,0.9930315806220666,876,0.006968419377933338
Presidencial segunda vuelta,TARMA,TARMA,431,426,5,124297,122937,1360,431,124297,JUNIN,1,0.988399071925754,0.01160092807424594,1,0.9890584648060693,1360,0.010941535193930665
Presidencial segunda vuelta,LA ESPERANZA,LA ESPERANZA,1376,1373,3,405342,404452,890,1376,405342,LA LIBERTAD,1,0.9978197674418605,0.002180232558139535,1,0.997804323262825,890,0.0021956767371750273
