mesa,electores,region,provincia,distrito,odpe,local,ambito,estado,fp,jp,valid,blancos,nulos,impugnados,contada,p_fp,valid_rate,valid_proyectados,fp_proyectados,jp_proyectados
064326,300,LIMA,HUARAL,CHANCAY,HUARAL,IE 34,PERU,PARA ENVIO AL JEE,148.0,82.0,230.0,3.0,13.0,0.0,False,0.5353123091854699,0.7364554027411476,220.93662082234428,118.27009267604369,102.66652814630059
064358,300,LIMA,HUARAL,CHANCAY,HUARAL,IE 20390 HORTENCIA DULANTO DE LAS CASAS,PERU,PARA ENVIO AL JEE,122.0,95.0,217.0,4.0,21.0,1.0,False,0.5353123091854699,0.7364554027411476,220.93662082234428,118.27009267604369,102.66652814630059
064815,300,LIMA,BARRANCA,PATIVILCA,HUAURA,IE 20505,PERU,PARA ENVIO AL JEE,130.0,97.0,227.0,3.0,5.0,2.0,False,0.556006928035868,0.7072920142445934,212.187604273378,117.97777801933134,94.20982625404667
065286,300,LORETO,MAYNAS,IQUITOS,MAYNAS,ESFAP LORENZO LUJAN DARJON,PERU,PARA ENVIO AL JEE,106.0,94.0,200.0,3.0,17.0,0.0,False,0.5692051785211888,0.6467146975315472,194.01440925946417,110.43400645821629,83.58040280124789
065298,300,LORETO,MAYNAS,IQUITOS,MAYNAS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICO PUBLICA LORETO,PERU,PARA ENVIO AL JEE,129.0,79.0,208.0,1.0,12.0,79.0,False,0.5692051785211888,0.6467146975315472,194.01440925946417,110.43400645821629,83.58040280124789
064989,300,LORETO,MAYNAS,IQUITOS,MAYNAS,CEBE IQUITOS,PERU,PARA ENVIO AL JEE,114.0,86.0,200.0,84.0,16.0,0.0,False,0.5692051785211888,0.6467146975315472,194.01440925946417,110.43400645821629,83.58040280124789
065016,300,LORETO,MAYNAS,IQUITOS,MAYNAS,IEP COLEGIO COOPERATIVO CESAR VALLEJO,PERU,PARA ENVIO AL JEE,118.0,84.0,202.0,1.0,9.0,1.0,False,0.5692051785211888,0.6467146975315472,194.01440925946417,110.43400645821629,83.58040280124789
065068,300,LORETO,MAYNAS,IQUITOS,MAYNAS,IE 60054 JOSE SILFO ALVAN DEL CASTILLO,PERU,PARA ENVIO AL JEE,195.0,87.0,282.0,1.0,14.0,0.0,False,0.5692051785211888,0.6467146975315472,194.01440925946417,110.43400645821629,83.58040280124789
065152,230,LORETO,MAYNAS,IQUITOS,MAYNAS,IE SAGRADO CORAZON - PRIMARIA,PERU,PARA ENVIO AL JEE,77.0,60.0,137.0,0.0,9.0,1.0,False,0.5692051785211888,0.6467146975315472,148.74438043225587,84.66607161796583,64.07830881429004
065336,300,LORETO,MAYNAS,IQUITOS,MAYNAS,IE MAYNAS,PERU,PARA ENVIO AL JEE,101.0,82.0,183.0,2.0,18.0,0.0,False,0.5692051785211888,0.6467146975315472,194.01440925946417,110.43400645821629,83.58040280124789
065380,284,LORETO,MAYNAS,ALTO NANAY,MAYNAS,IE 60189,PERU,PARA ENVIO AL JEE,2.0,26.0,28.0,0.0,2.0,0.0,False,0.6654205941332698,0.43400348607557687,123.25699004546384,82.01773954713107,41.239250498332765
065555,300,LORETO,MAYNAS,PUNCHANA,MAYNAS,IE 60058 SANTA ROSA DE LIMA,PERU,PARA ENVIO AL JEE,100.0,111.0,211.0,1.0,9.0,0.0,False,0.6081367787617572,0.595140797587649,178.5422392762947,108.57810226639675,69.96413700989795
