ambito,region,odpe,actas_pendientes,electores_pendientes,validos_proyectados,fp_proyectados,jp_proyectados,margen_proyectado_fp
PERU,LIMA,SAN MIGUEL,18,5381,3962.03292761755,2968.127750820088,993.905176797462,1974.2225740226258
PERU,LIMA,INDEPENDENCIA,18,5376,4030.4625270029487,2508.295529156133,1522.1669978468155,986.1285313093174
PERU,LA LIBERTAD,TRUJILLO,18,5314,3758.3815409243016,2426.7093130964336,1331.6722278278683,1095.0370852685653
PERU,LIMA,LIMA CENTRO 2,18,5211,3807.512164221402,2640.1058152608593,1167.4063489605428,1472.6994663003165
PERU,LIMA,SAN BORJA,17,5082,3741.4583830823,3009.665696203855,731.7926868784448,2277.8730093254103
PERU,PIURA,CASTILLA,16,4770,3366.3651015884802,1991.3830475008915,1374.982054087589,616.4009934133026
PERU,CALLAO,BELLAVISTA,16,4636,3362.3020318192357,2388.970749403159,973.3312824160764,1415.6394669870826
PERU,PIURA,PIURA,15,4411,3206.464636461068,2049.798489430921,1156.6661470301472,893.132342400774
PERU,ICA,CHINCHA,15,4399,3414.08295148295,1866.092208444824,1547.9907430381259,318.10146540669825
PERU,LIMA,LIMA NORTE 3,14,4197,3083.074801210333,2094.5207258350256,988.554075375308,1105.9666504597176
PERU,LIMA,LOS OLIVOS,14,4181,3168.0817553841516,1971.063122084718,1197.0186332994338,774.0444887852843
PERU,JUNIN,CHANCHAMAYO,14,4011,2374.772332965092,1037.3500672206706,1337.4222657444213,-300.0721985237508
PERU,LIMA,LA MOLINA,13,3887,2872.9069264493523,2164.011223320698,708.8957031286548,1455.115520192043
PERU,TACNA,TACNA,13,3859,2974.8433967110973,953.091353894903,2021.7520428161943,-1068.6606889212912
PERU,LIMA,CARABAYLLO,13,3849,2861.468050189229,1613.7357952789225,1247.7322549103064,366.0035403686161
PERU,UCAYALI,ATALAYA,14,3598,1465.0395750984924,710.5308493583731,754.5087257401192,-43.977876381746114
PERU,PIURA,SULLANA,12,3570,2385.6550965975553,1527.350929011569,858.3041675859864,669.0467614255825
PERU,LIMA,PUEBLO LIBRE,12,3449,2522.9656406917643,1840.3326701199155,682.6329705718487,1157.6996995480667
PERU,AYACUCHO,HUAMANGA,11,3096,2202.58753355862,529.1273722178557,1673.4601613407644,-1144.3327891229087
PERU,LAMBAYEQUE,CHICLAYO,10,2983,2132.067070647345,1332.6805272170072,799.3865434303381,533.2939837866692
PERU,LIMA,LIMA SUR 1,10,2931,2233.6138608198376,1386.522644024925,847.0912167949124,539.4314272300127
PERU,ANCASH,HUARI,10,2866,1406.6243128962187,391.9295195732711,1014.6947933229476,-622.7652737496765
PERU,LORETO,REQUENA,11,2758,1296.1759283208298,788.5200842509329,507.65584406989694,280.86424018103594
PERU,LIMA,HUAURA,9,2699,1963.6960621798717,1047.596811811972,916.0992503678998,131.49756144407218
PERU,PUNO,SAN ROMAN,9,2690,2142.006153508186,402.2450751505662,1739.76107835762,-1337.5160032070537
PERU,HUANUCO,HUANUCO,10,2682,1731.9365152114583,650.4103815914043,1081.5261336200542,-431.1157520286499
PERU,PUNO,PUNO,9,2605,1965.751951454264,383.25674502018296,1582.495206434081,-1199.238461413898
PERU,LA LIBERTAD,PACASMAYO,9,2547,1706.1470633774031,1053.1073666584389,653.0396967189644,400.0676699394745
PERU,LIMA,HUAROCHIRI,9,2465,1724.2954730269105,815.4651807399844,908.8302922869261,-93.36511154694176
PERU,LIMA,BRENA,8,2396,1771.7040408944213,1210.9878705069227,560.7161703874988,650.2717001194239
PERU,AREQUIPA,CERRO COLORADO,8,2312,1762.3125509357765,743.2577523529513,1019.054798582825,-275.7970462298737
PERU,PASCO,PASCO,8,2302,1429.0172314712909,390.91751172902195,1038.099719742269,-647.182208013247
PERU,ICA,ICA,7,2080,1547.4056385858198,846.1621124231693,701.2435261626505,144.91858626051885
PERU,PIURA,PAITA,7,2036,1479.0425495740612,821.7537696511392,657.288779922922,164.46498972821723
PERU,PIURA,MORROPON,7,2001,1173.9134427492968,550.791391975555,623.1220507737418,-72.33065879818673
PERU,AREQUIPA,MOLLENDO,7,1997,1485.3607099102546,404.11055844281975,1081.2501514674348,-677.139593024615
PERU,LIMA,HUARAL,7,1978,1451.3675859201767,805.1749226455784,646.1926632745983,158.98225937098005
PERU,ANCASH,HUARAZ,7,1884,1355.263814525156,523.0079823077708,832.2558322173852,-309.2478499096144
PERU,LA LIBERTAD,VICTOR LARCO HERRERA,6,1797,1280.170119878314,797.1186532894162,483.0514665888976,314.0671867005186
PERU,LIMA,LURIGANCHO,6,1754,1264.4186582450618,692.468105821514,571.9505524235478,120.51755339796614
PERU,LIMA,CANETE,6,1723,1325.7569592969699,712.8719318674716,612.8850274294983,99.9869044379733
PERU,PASCO,OXAPAMPA,6,1668,977.583443339612,602.5974053485098,374.9860379911022,227.61136735740763
