ambito,region,odpe,total,contabilizadas,jee,no_ingresadas,electores_pendientes,pendientes,pct_contabilizadas
PERU,PUNO,PUNO,829,820,9,0,2605,9,98.91435464414958
PERU,LA LIBERTAD,PACASMAYO,959,950,9,0,2547,9,99.06152241918666
PERU,LIMA,HUAROCHIRI,342,333,9,0,2465,9,97.36842105263158
PERU,LIMA,BRENA,355,347,8,0,2396,8,97.74647887323944
PERU,AREQUIPA,CERRO COLORADO,1325,1317,8,0,2312,8,99.39622641509433
PERU,PASCO,PASCO,485,477,8,0,2302,8,98.35051546391753
PERU,ICA,ICA,1383,1376,7,0,2080,7,99.4938539407086
PERU,PIURA,PAITA,568,561,7,0,2036,7,98.76760563380282
PERU,PIURA,MORROPON,859,852,7,0,2001,7,99.18509895227008
PERU,AREQUIPA,MOLLENDO,178,171,7,0,1997,7,96.06741573033707
PERU,LIMA,HUARAL,607,600,7,0,1978,7,98.84678747940691
PERU,ANCASH,HUARAZ,605,598,7,0,1884,7,98.84297520661157
PERU,LA LIBERTAD,VICTOR LARCO HERRERA,667,661,6,0,1797,6,99.10044977511244
PERU,LIMA,LURIGANCHO,687,681,6,0,1754,6,99.12663755458516
PERU,LIMA,CANETE,668,662,6,0,1723,6,99.10179640718563
PERU,PASCO,OXAPAMPA,317,311,6,0,1668,6,98.10725552050474
PERU,SAN MARTIN,MARISCAL CACERES,683,677,6,0,1656,6,99.12152269399706
PERU,APURIMAC,ANDAHUAYLAS,609,603,6,0,1504,6,99.01477832512315
PERU,AREQUIPA,CAMANA,298,293,5,0,1489,5,98.32214765100672
PERU,JUNIN,EL TAMBO,973,968,5,0,1467,5,99.48612538540596
PERU,JUNIN,HUANCAYO,805,800,5,0,1461,5,99.37888198757764
PERU,HUANUCO,LEONCIO PRADO,483,478,5,0,1416,5,98.9648033126294
PERU,MADRE DE DIOS,TAMBOPATA,507,502,5,0,1395,5,99.0138067061144
PERU,ANCASH,HUARMEY,267,262,5,0,1366,5,98.12734082397004
PERU,JUNIN,TARMA,431,426,5,0,1360,5,98.83990719257541
PERU,SAN MARTIN,MOYOBAMBA,1028,1024,4,0,1171,4,99.61089494163424
PERU,SAN MARTIN,SAN MARTIN,823,819,4,0,1167,4,99.51397326852977
PERU,CAJAMARCA,CHOTA,855,851,4,0,1047,4,99.53216374269006
PERU,HUANCAVELICA,TAYACAJA,432,428,4,0,961,4,99.07407407407408
PERU,CUSCO,URUBAMBA,432,429,3,0,900,3,99.30555555555556
PERU,LAMBAYEQUE,LAMBAYEQUE,1199,1196,3,0,900,3,99.74979149291076
PERU,LA LIBERTAD,LA ESPERANZA,1376,1373,3,0,890,3,99.78197674418605
PERU,HUANCAVELICA,HUANCAVELICA,384,381,3,0,885,3,99.21875
PERU,AYACUCHO,HUANTA,504,501,3,0,880,3,99.4047619047619
PERU,CUSCO,QUISPICANCHI,420,417,3,0,878,3,99.28571428571429
PERU,JUNIN,JAUJA,456,453,3,0,876,3,99.34210526315789
PERU,HUANUCO,PUERTO INCA,119,116,3,0,858,3,97.47899159663865
PERU,HUANCAVELICA,ANGARAES,304,301,3,0,797,3,99.01315789473684
PERU,APURIMAC,ABANCAY,457,455,2,0,600,2,99.56236323851203
